"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При клике на вопрос открывается соответствующий ответ","6003","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"При клике на вопрос открывается соответствующий ответ","5645","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"Проверка полного позитивного сценария оформления заказа через верхнюю кнопку 'Заказать'","7669","Успешное оформление заказа через верхнюю кнопку","tests","2026-03-31","passed","2026-03-31","TestOrder","test_order","",""
"При клике на вопрос открывается соответствующий ответ","6297","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"При клике на вопрос открывается соответствующий ответ","5030","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"При клике на вопрос открывается соответствующий ответ","6562","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"При клике на вопрос открывается соответствующий ответ","5466","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"Проверка, что при клике на логотип Самоката открывается главная страница в той же вкладке","5495","Переход на главную страницу по логотипу Самоката","tests","2026-03-31","passed","2026-03-31","TestLogo","test_logo","",""
"Проверка полного позитивного сценария оформления заказа через нижнюю кнопку 'Заказать'","7698","Успешное оформление заказа через нижнюю кнопку","tests","2026-03-31","passed","2026-03-31","TestOrder","test_order","",""
"При клике на вопрос открывается соответствующий ответ","5802","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
"Проверка, что при клике на логотип Яндекса открывается новая вкладка со страницей Дзена","8449","Открытие Дзена по логотипу Яндекса","tests","2026-03-31","passed","2026-03-31","TestLogo","test_logo","",""
"При клике на вопрос открывается соответствующий ответ","6540","Проверка текста ответа в FAQ","tests","2026-03-31","passed","2026-03-31","TestFAQ","test_faq","",""
